statename,scode,1960,1961 [YR1961],1961 [YR1961],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,330.30,343.08,333.22,357.23,365.28,405.55,412.01,488.30,543.30,528.74,576.19,587.57,583.66,574.18,571.07,571.54,563.83
Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1992.30,2064.99,2081.42,2060.26,1992.12,1986.33,2058.13,2001.54,1936.24,2070.30,1838.67,1331.81,1243.61,1370.83,1493.79,1703.29,1869.87,1676.13,1835.65,2085.43,2244.63,2453.63,2572.73,2725.18,2887.38,3062.68,3263.91,3485.33,3775.59,3928.46,4094.36,4209.89,4276.62,4327.39,4413.12,4524.68,4683.74,4867.92,5075.35
Algeria,DZA,2480.99,2090.78,1638.24,2146.27,2214.19,2289.94,2120.48,2255.82,2428.29,2558.53,2707.63,2335.06,2894.90,2924.20,3057.88,3123.45,3290.67,3365.79,3570.48,3725.20,3642.56,3637.79,3751.65,3832.63,3924.20,3948.22,3848.90,3713.95,3576.15,3634.95,3571.19,3442.58,3423.14,3277.63,3181.55,3239.98,3314.20,3296.97,3413.50,3473.19,3557.20,3616.54,3771.01,3991.34,4108.53,4291.19,4299.76,4376.36,4406.95,4402.41,4480.79,4524.35,4586.65,4620.13,4698.66,4776.79,4834.23,4812.16,4815.57
American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10551.21,10561.32,10586.68,10565.23,10202.96,10535.55,10416.01,10117.01,10271.22,10360.51,9921.81,9640.34,9717.83,9835.41,9589.98,9093.80,..
Andorra,AND,..,..,..,..,..,..,..,..,..,..,42137.52,41883.14,43051.22,44201.73,44648.38,43158.01,43079.82,42958.89,42339.33,41041.87,40495.70,38896.63,37756.42,36776.51,35820.93,35095.99,34744.39,35204.99,35546.65,35831.62,35780.52,35291.71,34278.65,32766.06,32633.83,32917.65,34175.26,37293.28,38595.72,40035.48,40801.54,41420.85,42396.30,45519.49,47032.87,48831.93,49707.17,48710.08,43900.43,41979.37,39736.35,38207.60,38192.44,39111.08,40790.20,41767.53,42949.67,43858.08,44569.78
Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3179.54,2934.40,2831.97,2847.50,2912.67,2909.53,2890.02,2904.13,2976.64,2877.34,2685.78,2623.71,2390.81,1759.35,1726.32,1922.42,2113.75,2195.72,2225.68,2201.53,2195.63,2213.68,2433.80,2423.29,2597.46,2883.98,3102.65,3409.50,3652.15,3549.58,3587.88,3579.96,3748.45,3796.88,3843.20,3748.32,3530.31,3409.93,3229.62
Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5193.18,5431.58,5878.40,6367.10,6616.95,6613.64,6967.49,7675.86,8262.59,9217.05,9833.70,10337.31,10838.67,11072.24,11163.48,11099.41,11453.45,11958.67,11193.16,11676.87,12052.77,12360.99,12570.40,13174.81,12328.16,12282.14,12861.09,13423.49,14086.30,15641.39,16820.81,16545.78,14316.34,13092.07,12643.92,12919.95,12750.41,13193.55,13577.41,14190.61,14483.21,15061.59
Argentina,ARG,5642.77,5853.17,5711.18,5323.49,5772.65,6286.23,6151.93,6255.18,6460.79,6980.90,7084.18,7368.08,7368.51,7453.75,7740.86,7617.94,7350.83,7743.58,7285.44,7910.37,7908.02,7380.67,7210.35,7403.73,7399.89,6904.65,7214.27,7294.06,7104.18,6497.43,6245.71,6721.28,7157.33,7644.24,7988.64,7666.53,7994.24,8543.03,8772.06,8381.25,8224.11,7776.14,6854.29,7380.47,7962.41,8577.86,9174.50,9901.51,10201.48,9502.24,10385.96,10883.32,10649.84,10784.63,10398.69,10568.16,10239.48,10404.26,10040.13
Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1796.93,1601.59,949.03,886.03,956.47,1043.54,1121.88,1172.14,1267.57,1317.74,1404.32,1548.06,1761.84,2019.90,2244.14,2571.98,2934.02,3366.66,3629.91,3137.35,3218.37,3370.55,3603.60,3705.36,3819.22,3923.72,3917.38,4198.79,4406.71
Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15669.62,18427.61,22134.02,24837.95,25357.79,26329.31,26401.97,26663.21,27272.31,26705.18,26087.78,27190.50,27151.92,26954.40,28417.38,26966.05,25508.30,25469.29,27005.53,26979.89,27046.22,27427.58,27365.93,24463.69,23512.60,24233.00,23781.26,24635.76,24697.49,24452.61,24277.41,24485.08,..
