statename,region
American Samoa,East Asia and Pacific
Australia,East Asia and Pacific
Brunei Darussalam,East Asia and Pacific
Cambodia,East Asia and Pacific
China,East Asia and Pacific
Fiji,East Asia and Pacific
French Polynesia,East Asia and Pacific
Guam,East Asia and Pacific
"Hong Kong SAR, China",East Asia and Pacific
Indonesia,East Asia and Pacific
Japan,East Asia and Pacific
Kiribati,East Asia and Pacific
"Korea, Dem. People's Rep.",East Asia and Pacific
"Korea, Rep.",East Asia and Pacific
Lao PDR,East Asia and Pacific
"Macao SAR, China",East Asia and Pacific
Malaysia,East Asia and Pacific
Marshall Islands,East Asia and Pacific
"Micronesia, Fed. Sts.",East Asia and Pacific
Mongolia,East Asia and Pacific
Myanmar,East Asia and Pacific
Nauru,East Asia and Pacific
New Caledonia,East Asia and Pacific
New Zealand,East Asia and Pacific
Northern Mariana Islands,East Asia and Pacific
Palau,East Asia and Pacific
Philippines,East Asia and Pacific
Samoa,East Asia and Pacific
Singapore,East Asia and Pacific
Solomon Islands,East Asia and Pacific
"Taiwan, China",East Asia and Pacific
Thailand,East Asia and Pacific
Timor-Leste,East Asia and Pacific
Papua New Guinea,East Asia and Pacific
Tonga,East Asia and Pacific
Tuvalu,East Asia and Pacific
Vanuatu,East Asia and Pacific
Vietnam,East Asia and Pacific
Albania,Europe and Central Asia
Andorra,Europe and Central Asia
Armenia,Europe and Central Asia
Austria,Europe and Central Asia
Azerbaijan,Europe and Central Asia
Belarus,Europe and Central Asia
Belgium,Europe and Central Asia
Bosnia and Herzegovina,Europe and Central Asia
Bulgaria,Europe and Central Asia
Channel Islands,Europe and Central Asia
Croatia,Europe and Central Asia
Cyprus,Europe and Central Asia
Czech Republic,Europe and Central Asia
Denmark,Europe and Central Asia
Estonia,Europe and Central Asia
Faroe Islands,Europe and Central Asia
Finland,Europe and Central Asia
France,Europe and Central Asia
Georgia,Europe and Central Asia
Germany,Europe and Central Asia
Gibraltar,Europe and Central Asia
Greece,Europe and Central Asia
Greenland,Europe and Central Asia
Hungary,Europe and Central Asia
Iceland,Europe and Central Asia
Ireland,Europe and Central Asia
Isle of Man,Europe and Central Asia
Italy,Europe and Central Asia
Kazakhstan,Europe and Central Asia
Kosovo,Europe and Central Asia
Kyrgyz Republic,Europe and Central Asia
Latvia,Europe and Central Asia
Liechtenstein,Europe and Central Asia
Lithuania,Europe and Central Asia
Luxembourg,Europe and Central Asia
"Macedonia, FYR",Europe and Central Asia
Moldova,Europe and Central Asia
Monaco,Europe and Central Asia
Montenegro,Europe and Central Asia
Netherlands,Europe and Central Asia
Norway,Europe and Central Asia
Poland,Europe and Central Asia
Portugal,Europe and Central Asia
Romania,Europe and Central Asia
Russian Federation,Europe and Central Asia
San Marino,Europe and Central Asia
Serbia,Europe and Central Asia
Slovak Republic,Europe and Central Asia
Slovenia,Europe and Central Asia
Spain,Europe and Central Asia
Sweden,Europe and Central Asia
Switzerland,Europe and Central Asia
Tajikistan,Europe and Central Asia
Turkey,Europe and Central Asia
Turkmenistan,Europe and Central Asia
Ukraine,Europe and Central Asia
United Kingdom,Europe and Central Asia
Uzbekistan,Europe and Central Asia
Antigua and Barbuda,Latin America and the Carribean
Argentina,Latin America and the Carribean
Aruba,Latin America and the Carribean
"Bahamas, The",Latin America and the Carribean
Barbados,Latin America and the Carribean
Belize,Latin America and the Carribean
Bolivia,Latin America and the Carribean
Brazil,Latin America and the Carribean
British Virgin Islands,Latin America and the Carribean
Cayman Islands,Latin America and the Carribean
Chile,Latin America and the Carribean
Colombia,Latin America and the Carribean
Costa Rica,Latin America and the Carribean
Cuba,Latin America and the Carribean
Curacao,Latin America and the Carribean
Dominica,Latin America and the Carribean
Dominican Republic,Latin America and the Carribean
Ecuador,Latin America and the Carribean
El Salvador,Latin America and the Carribean
Grenada,Latin America and the Carribean
Guatemala,Latin America and the Carribean
Guyana,Latin America and the Carribean
Haiti,Latin America and the Carribean
Honduras,Latin America and the Carribean
Jamaica,Latin America and the Carribean
Mexico,Latin America and the Carribean
Nicaragua,Latin America and the Carribean
Panama,Latin America and the Carribean
Paraguay,Latin America and the Carribean
Peru,Latin America and the Carribean
Puerto Rico,Latin America and the Carribean
Sint Maarten (Dutch part),Latin America and the Carribean
St. Kitts and Nevis,Latin America and the Carribean
St. Lucia,Latin America and the Carribean
St. Martin (French part),Latin America and the Carribean
St. Vincent and the Grenadines,Latin America and the Carribean
Suriname,Latin America and the Carribean
Trinidad and Tobago,Latin America and the Carribean
Turks and Caicos Islands,Latin America and the Carribean
Uruguay,Latin America and the Carribean
"Venezuela, RB",Latin America and the Carribean
Virgin Islands (U.S.),Latin America and the Carribean
Algeria,Middle East and North Africa
Bahrain,Middle East and North Africa
Djibouti,Middle East and North Africa
"Egypt, Arab Rep.",Middle East and North Africa
"Iran, Islamic Rep.",Middle East and North Africa
Iraq,Middle East and North Africa
Israel,Middle East and North Africa
Jordan,Middle East and North Africa
Kuwait,Middle East and North Africa
Lebanon,Middle East and North Africa
Libya,Middle East and North Africa
Malta,Middle East and North Africa
Morocco,Middle East and North Africa
Oman,Middle East and North Africa
Qatar,Middle East and North Africa
Saudi Arabia,Middle East and North Africa
Syrian Arab Republic,Middle East and North Africa
Tunisia,Middle East and North Africa
United Arab Emirates,Middle East and North Africa
West Bank and Gaza,Middle East and North Africa
"Yemen, Rep.",Middle East and North Africa
Bermuda,North America
Canada,North America
United States,North America
Angola,Sub-Saharan Africa
Benin,Sub-Saharan Africa
